courses,average_rating,name,slug,num_courses,num_reviews,sentiment
"['CHEM271', 'CHEM705', 'CHEM889A', 'CHEM131', 'HONR238G', 'CHEM131S', 'CHEM135', 'CHEM403', 'CHEM131', 'CHEM131S', 'CHEM403', 'CHEM889A', 'CHEM131', 'CHEM705', 'CHEM889A', 'CHEM135', 'CHEM403', 'CHEM889A', 'CHEM705', 'CHEM889A', 'CHEM135', 'CHEM403', 'CHEM889A']",1.9386,Alice Mignerey,mignerey,23,114,-0.7282518132736808
"['MATH246', 'HLTH710', 'MATH246', 'MATH246', 'MATH246']",2.8,Alice Wang,wang_alice,5,15,-0.28949061234792073
"['ECON325', 'ECON709', 'ECON754', 'ECON601', 'HONR259G', 'ECON808', 'ECON757', 'ECON848', 'HLTH672', 'HLTH710', 'ECON371', 'ECON754', 'ECON371', 'ECON754', 'ECON371', 'ECON754']",2.2308,Allan Drazen,drazen,16,13,-0.7178442065532391
"['PHIL170H', 'PHIL209I', 'PHIL209T', 'PHIL170', 'PHIL354', 'PHIL788', 'RELS236', 'PHIL858I', 'PHIL201', 'HLTH672', 'PHIL418K', 'PHIL808M', 'PHIL282', 'PHIL409X', 'PHIL201', 'PHIL282', 'PHIL236', 'PHIL409X', 'PHIL282', 'PHIL858F', 'PHIL409X']",2.6364,Allen Stairs,stairs,21,11,-0.8173441670157693
"['ENAE464', 'ENAE362', 'ENAE488T', 'EDSP652', 'ENAE362', 'ENAE464', 'ENAE362', 'ENAE464', 'ENAE362']",3.3077,Allen Winkelmann,winkelmann,9,13,0.08335516085991493
"['ENGL101', 'ENGL273', 'ENGL243', 'ENGL271', 'ENGL353', 'ENGL393', 'ENGL499', 'ENGL101', 'ENGL101', 'ENGL499', 'ENGL101', 'ENGL499', 'ENGL393']",4.2,Amanda Allen,allen_amanda,13,10,0.5853708684444427
"['MATH607', 'MATH405', 'MATH141', 'MATH406', 'MATH140', 'MATH603', 'MATH606', 'MATH403', 'MATH808G', 'MATH608F', 'MATH463', 'HLTH672', 'HLTH710', 'MATH462', 'MATH461', 'MATH141', 'MATH600', 'MATH601', 'MATH299Q', 'MATH141', 'MATH403', 'MATH808C', 'MATH808E', 'MATH141']",4.2373,Amin Gholampour,gholampour,24,59,-0.01134886579998469
"['ENME641', 'ENME646', 'ENME332', 'ENME331', 'ENME331', 'ENME331', 'ENME332', 'ENME331', 'ENME331', 'ENME332', 'ENME331', 'ENME331', 'ENME332']",2.4737,Amir Riaz,riaz,13,19,-0.6724509910533303
"['CMSC424', 'CMSC724', 'CMSC498O', 'CMSC641', 'CMSC828O', 'CMSC320', 'CMSC798', 'CMSC828E', 'CMSC424', 'CMSC848E', 'CMSC724', 'CMSC424', 'CMSC724']",2.9032,Amol Deshpande,deshpande,13,31,-0.30259709973489085
"['ENES601', 'GEMS297', 'ENME711', 'GEMS396', 'GEMS397', 'ENES221', 'GEMS496', 'ENME361', 'GEMS497', 'ENAE655', 'ENME662', 'ENME462', 'ENME489P', 'ENME808P', 'ENME462', 'ENME462', 'ENME662', 'ENME489P', 'ENME704', 'ENME808P', 'ENME462', 'ENME662', 'ENME489P', 'ENME711', 'ENME808P', 'ENME462', 'ENME662']",5.0,Amr Baz,baz,27,17,0.9717417359352112
"['INAG110', 'HLTH672', 'HLTH710', 'INAG110', 'INAG110', 'INAG110', 'INAG110', 'INAG110', 'INAG110', 'INAG110', 'INAG110', 'INAG110']",5.0,Amy Fisher,fisher_amy,12,18,0.9794969161351522
"['CHEM276', 'CHEM689', 'CHEM889E', 'CHEM481', 'CHEM688M', 'CHEM690', 'CHEM889F', 'CHPH709A', 'CHEM612', 'CHEM482', 'CHEM689L', 'CHEM611', 'CHEM682', 'CHEM689L', 'CHEM480']",1.7692,Amy Mullin,mullin,15,13,-0.6897137715266302
"['SPAN301', 'SPAN302', 'SPAN426', 'SPAN310', 'SPAN204', 'SPAN311', 'SPAN325', 'SPAN301', 'SPAN311', 'SPAN301', 'SPAN311', 'SPAN325', 'SPAN425', 'SPAN625', 'SPAN301', 'SPAN311', 'SPAN301', 'SPAN311', 'SPAN301', 'SPAN311', 'SPAN301', 'SPAN311']",4.36,Ana Acedo Garcia,garcia_ana_acedo,22,25,0.7281480407714844
"['SPAN408F', 'USLT202', 'SPAN303', 'SPAN408I', 'SPAN361', 'SPAN408L', 'SPAN408X', 'SPAN798Z', 'SPAN408K', 'SPAN408T', 'SPAN359B', 'SPAN408G', 'SLLC299P', 'SPAN229R', 'USLT418C', 'SPAN374', 'SPAN798C', 'SPAN408W', 'SPAN798N', 'SPAN408R', 'USLT428R', 'AMST798B', 'SPAN374', 'SPAN798B', 'SPAN303', 'SPAN374', 'SPAN303', 'SLLC399L', 'SPAN798P', 'SPAN359U', 'SPAN374', 'USLT498F']",2.4545,Ana Rodriguez,rodriguez_ana,32,11,-0.6282455216754567
"['ENEE322', 'ENEE460', 'ENEE664', 'ENEE322H', 'ENEE661', 'ENEE698C', 'ENEE469O', 'ENTS669F', 'ENEE322H', 'ENEE460', 'ENEE664', 'ENEE322H', 'ENEE322', 'ENEE322', 'ENEE322H']",3.2273,Andre Tits,tits,15,22,-0.1949934715574438
"['CHEM401', 'CHEM889C', 'CHEM135', 'CHEM608V', 'CHEM611', 'CHEM498B', 'CHEM601', 'CHEM889D', 'CHEM276', 'CHEM612', 'CHEM146', 'CHEM498V', 'CHEM602', 'CHEM271', 'CHEM498V', 'CHEM608V', 'CHEM271', 'CHEM401', 'CHEM889C', 'CHEM889D']",2.7123,Andrei Vedernikov,vedernikov,20,73,-0.5278584312086236
"['CMSC858K', 'CMSC451', 'CMSC858Q', 'CMSC798', 'CMSC457', 'PHYS457', 'CMSC657', 'CMSC451', 'CMSC657', 'CMSC451', 'CMSC451']",4.625,Andrew Childs,childs,11,32,0.5672682598233223
"['CHIN213', 'CHIN441', 'CHIN443', 'CHIN316', 'CHIN214', 'CHIN429C', 'ARHU158E', 'CHIN429D', 'CHIN215', 'SLLC286', 'CHIN429J', 'PSYC603', 'PSYC660', 'PSYC661', 'HLTH672', 'HLTH710', 'EALL284', 'SLLC286', 'CHIN441', 'SLLC286', 'CHIN441', 'SLLC286', 'CHIN441', 'SLLC286', 'CHIN441', 'SLLC286', 'CHIN441', 'SLLC286']",5.0,Andrew Schonebaum,schonebaum,28,22,0.8950552533973347
"['PHYS276', 'PHYS375', 'PHYS161', 'PHYS758E', 'PHYS103', 'PHYS107', 'PHYS106', 'HLTH672', 'PHYS260', 'PHYS260', 'PHYS103', 'PHYS260', 'PHYS260', 'PHYS261', 'PHYS103', 'PHYS261', 'PHYS271', 'PHYS261', 'PHYS271', 'PHYS103', 'PHYS261', 'PHYS271']",1.8636,Andris Skuja,skuja,22,22,-0.7479480721733787
"['ANSC260', 'ANSC211', 'ANSC235', 'ANSC204', 'ANSC205', 'ANSC204', 'ANSC205', 'ANSC260', 'ANSC245', 'ANSC204', 'ANSC205', 'ANSC245', 'ANSC204', 'ANSC205']",4.7273,Angela Black,black_angela,14,11,0.9841084697029807
"['ENEE350', 'ENEE350H', 'ENEE759T', 'ENEE640', 'ENPM607', 'ENES604', 'EDSP652', 'ENEE459C', 'ENEE459C', 'ENEE640', 'ENEE459C', 'ENEE640']",3.7857,Ankur Srivastava,srivastava_ankur,12,14,0.5683030954429081
"['ENGL393', 'ENGL398V', 'ENGL101', 'COMM200', 'COMM360', 'COMM460', 'COMM451', 'COMM461', 'COMM469E', 'ENGL391', 'ENGL398E', 'ENGL393', 'ENGL393', 'ENGL393', 'ENGL393', 'ENGL393', 'ENGL393', 'ENGL393', 'ENGL393']",3.5,Ann Mason,mason_ann,19,12,-0.3297654042641322
"['PUAF359W', 'PUAF311', 'PLCY311', 'PLCY201', 'PLCY311', 'PLCY201', 'PLCY203', 'PLCY311', 'PLCY201', 'PLCY201', 'PLCY203', 'PLCY311', 'PLCY203', 'PLCY311']",2.3684,Anne Kaiser,kaiser,14,19,-0.7919036244091234
"['HIST233', 'HIST289O', 'HIST428M', 'HIST289O', 'HIST233', 'HIST465', 'HIST289O', 'HIST233', 'HIST465', 'HIST289O']",3.6667,Anne Rush,rush_anne,10,18,0.017494248019324407
